@relation 'Reuters-21578 Corn ModApte Train-weka.filters.unsupervised.attribute.NumericToBinary-weka.filters.unsupervised.instance.RemoveFolds-S0-N5-F1'

@attribute Text string
@attribute class-att {0,1}

@data
'BROWN-FORMAN &lt;BFDB> SETS STOCK SPLIT, UPS PAYOUT Brown-Forman Inc said its board\nhas approved a three-for-two stock split and a 35 pct increase\nin the company cash dividend.\n    The company cited its improved earnings outlook and\ncontinued strong cash flow as reasons for raising the dividend.\n    Brown-Forman said the split of its Class A and Class B\ncommon shares would be effective March 13.\n    The company said directors declared a quarterly cash\ndividend on each new share of both classes of 28 cts, payable\nApril one to holders of record March 20. Prior to the split,\nthe company had paid 31 cts quarterly.\n    Brown-Forman today reported a 37 pct increase in third \nquarter profits to 21.6 mln dlrs, or 1.00 dlr a share, on a\nseven pct increase in sales to a record 337 mln dlrs.\n    Brown-Forman said nine month profits declined a bit to 66.0\nmln dlrs, or 3.07 dlrs a share, from 66.2 mln dlrs, or 3.08\ndlrs a share, a year earlier due to a second quarter charge of\n37 cts a share for restructuring its beverage operations.\n    The company said lower corporate tax rates and the\nrestructuring \"are expected to substantially improve\nBrown-Forman\'s earnings and cash flow in fiscal 1988.\"\n Reuter\n&#3;',0
'ESQUIRE RADIO AND ELECTRONICS INC &lt;EE> 4TH QTR Shr profit 15 cts vs profit four cts\n    Annual div 72 cts vs 72 cts prior yr\n    Net profit 72,000 vs profit 16,000\n    Revs 7,075,000 vs 2,330,000\n    12 mths\n    Shr profit 42 cts vs loss 11 cts\n    Net profit 203,000 vs loss 55,000\n    Revs 16.1 mln vs 3,971,000\n    NOTE: annual dividend payable April 10, 1987, to\nstockholders of record on March 27, 1987.\n Reuter\n&#3;',0
'UNITED PRESIDENTIAL CORP &lt;UPCO> 4TH QTR NET Shr 39 cts vs 50 cts\n    Net 1,545,160 vs 2,188,933\n    Revs 25.2 mln vs 19.5 mln\n    Year\n    Shr 1.53 dlrs vs 1.21 dlrs\n    Net 6,635,318 vs 5,050,044\n    Revs 92.2 mln vs 77.4 mln\n    NOTE: Results include adjustment of 848,600 dlrs or 20 cts\nshr for 1986 year and both 1985 periods from improvement in\nresults of its universal life business than first estimated.\n Reuter\n&#3;',0
'JANUARY HOUSING SALES DROP, REALTY GROUP SAYS Sales of previously owned homes\ndropped 14.5 pct in January to a seasonally adjusted annual\nrate of 3.47 mln units, the National Association of Realtors\n(NAR) said.\n    But the December rate of 4.06 mln units had been the\nhighest since the record 4.15 mln unit sales rate set in\nNovember 1978, the group said.\n    \"The drop in January is not surprising considering that a\nsignificant portion of December\'s near-record pace was made up\nof sellers seeking to get favorable capital gains treatment\nunder the old tax laws,\" said the NAR\'s John Tuccillo.\n Reuter\n&#3;',0
'ASSETS OF MONEY MARKET MUTUAL FUNDS ROSE 720.4 MLN DLRS IN LATEST WEEK\n ',0
'OWENS AND MINOR INC &lt;OBOD> RAISES QTLY DIVIDEND Qtly div eights cts vs 7.5 cts prior\n    Pay March 31\n    Record March 13\n Reuter\n&#3;',0
'COMPUTER LANGUAGE RESEARCH IN &lt;CLRI> 4TH QTR Shr loss 22 cts vs loss 18 cts\n    Net loss 3,035,000 vs loss 2,516,000\n    Revs 20.9 mln vs 19.6 mln\n    Qtly div three cts vs three cts prior\n    Year\n    Shr profit two cts vs profit 34 cts\n    Net profit 215,000 vs profit 4,647,000\n    Revs 93.4 mln vs 98.7 mln\n    NOTE: Dividend payable April one to shareholders of record\nMarch 17.\n Reuter\n&#3;',0
'&lt;CINRAM LTD> 4TH QTR NET Shr 45 cts vs 58 cts\n    Net 1.1 mln vs 829,000\n    Sales 7.9 mln vs 9.4 mln\n    Avg shrs 2,332,397 vs 1,428,000\n    Year\n    Shr 1.22 dlrs vs 1.06 dlrs\n    Net 2.9 mln vs 1.5 mln\n    Sales 25.7 mln vs 22.2 mln\n    Avg shrs 2,332,397 vs 1,428,000\n Reuter\n&#3;',0
'STANDARD TRUSTCO SEES BETTER YEAR Standard Trustco said it expects earnings\nin 1987 to increase at least 15 to 20 pct from the 9,140,000\ndlrs, or 2.52 dlrs per share, recorded in 1986.\n    \"Stable interest rates and a growing economy are expected to\nprovide favorable conditions for further growth in 1987,\"\npresident Brian O\'Malley told shareholders at the annual\nmeeting.\n    Standard Trustco previously reported assets of 1.28 billion\ndlrs in 1986, up from 1.10 billion dlrs in 1985. Return on\ncommon shareholders\' equity was 18.6 pct last year, up from 15\npct in 1985.\n Reuter\n&#3;',0
'HANDY AND HARMAN &lt;HNH> 4TH QTR LOSS Shr loss 51 cts vs loss three cts\n    Net loss 7,041,000 vs loss 467,000\n    Rev 138.9 mln vs 131.4 mln\n    12 months\n    Shr loss 64 cts vs profit 46 cts\n    Net loss 8,843,000 vs profit 6,306,0000\n    Rev 558.9 mln vs 556.7 mln\n    NOTE: Net loss for 4th qtr 1986 includes charge for\nrestructuring of 2.6 mln dlrs after tax, or 19 cts a share.\n    1986 net loss includes after tax special charge of 2.7 mln\ndlrs, or 20 cts a share.\n   \n Reuter\n&#3;',0
'ICO PRODUCERS TO PRESENT NEW COFFEE PROPOSAL International Coffee Organization, ICO,\nproducing countries will present a proposal for reintroducing\nexport quotas for 12 months from April 1 with a firm\nundertaking to try to negotiate up to September 30 any future\nquota distribution on a new basis, ICO delegates said.\n    Distribution from April 1 would be on an unchanged basis as\nin an earlier producer proposal, which includes shortfall\nredistributions totalling 1.22 mln bags, they said.\n    Resumption of an ICO contact group meeting with consumers,\nscheduled for this evening, has been postponed until tomorrow,\ndelegates said.\n Reuter\n&#3;',0
'MCLEAN\'S &lt;MII> U.S. LINES SETS ASSET TRANSFER McLean Industries Inc\'s United\nStates Lines Inc subsidiary said it has agreed in principle to\ntransfer its South American service by arranging for the\ntransfer of certain charters and assets to &lt;Crowley Mariotime\nCorp>\'s American Transport Lines Inc subsidiary.\n    U.S. Lines said negotiations on the contract are expected\nto be completed within the next week. Terms and conditions of\nthe contract would be subject to approval of various regulatory\nbodies, including the U.S. Bankruptcy Court.\n Reuter\n&#3;',0
'CHEMLAWN &lt;CHEM> RISES ON HOPES FOR HIGHER BIDS ChemLawn Corp &lt;CHEM> could attract a\nhigher bid than the 27 dlrs per share offered by Waste\nManagement Inc &lt;WNX>, Wall Street arbitrageurs said.\n    Shares of ChemLawn shot up 11-5/8 to 29-3/8 in\nover-the-counter- trading with 3.8 mln of the company\'s 10.1\nmln shares changing hands by late afternoon.\n    \"This company could go for 10 times cash flow or 30 dlrs,\nmaybe 32 dollars depending on whether there is a competing\nbidder,\" an arbitrageur said. Waste Management\'s tender offer,\nannounced before the opening today, expires March 25.\n    \"This is totally by surprise,\" said Debra Strohmaier, a\nChemLawn spokeswoman. The company\'s board held a regularly\nscheduled meeting today and was discussing the Waste Management\nannouncement. She said a statement was expected but it was not\ncertain when it would be ready. \n    She was unable to say if there had been any prior contact\nbetween Waste Management and ChemLawn officials.\n    \"I think they will resist it,\" said Elliott Schlang,\nanalyst at Prescott, Ball and Turben Inc. \"Any company that\ndoesn\'t like a surprise attack would.\"\n    Arbitrageurs pointed out it is difficult to resist tender\noffers for any and all shares for cash. Schlang said ChemLawn\ncould try to find a white knight if does not want to be\nacquired by Waste Management.\n    Analyst Rosemarie Morbelli of Ingalls and Snyder said\nServiceMaster Companies L.P. &lt;SVM> or Rollins Inc &lt;ROL> were\nexamples of companies that could be interested.\n    ChemLawn, with about two mln customers, is the largest U.S.\ncompany involved in application of fertilizers, pesticides and\nherbicides on lawns. Waste Management is involved in removal of\nwastes.\n    Schlang said ChemLawn\'s customer base could be valuable to\nanother company that wants to capitalize on a strong\nresidential and commercial distribution system.\n    Both Schlang and Morbelli noted that high growth rates had\ncatapulted ChemLawn\'s share price into the mid-30\'s in 1983 but\nthe stock languished as the rate of growth slowed.\n    Schlang said the company\'s profits are concentrated in the\nfourth quarter. In 1986 ChemLawn earned 1.19 dlrs per share for\nthe full year, and 2.58 dlrs in the fourth quarter.\n    Morbelli noted ChemLawn competes with thousands of\nindividual entrepreuers who offer lawn and garden care sevice.\n Reuter\n&#3;',0
'U.S. SUGAR IMPORTS DOWN IN WEEK - USDA Sugar imports subject to the U.S.\nsugar import quota during the week ended January 9, the initial\nweek of the 1987 sugar quota year, totaled 5,988 short tons\nversus 46,254 tons the previous week, the Agriculture\nDepartment said.\n    The sugar import quota for the 1987 quota year\n(January-December) has been set at 1,001,430 short tons\ncompared with 1,850,000 tons in the 1986 quota year, which was\nextended three months to December 31.\n    The department said the Customs Service has reported that\nweekly and cumulative imports are reported on an actual weight\nbasis and when final polarizations are received, cumulative\nimport data are adjusted accordingly.\n Reuter\n&#3;',0
'BRAZIL ANTI-INFLATION PLAN LIMPS TO ANNIVERSARY inflation\nplan, initially hailed at home and abroad as the saviour of the\neconomy, is limping towards its first anniversary amid soaring\nprices, widespread shortages and a foreign payments crisis.\n    Announced last February 28 the plan froze prices, fixed the\nvalue of the new Cruzado currency and ended widespread\nindexation of the economy in a bid to halt the country\'s 250\npct inflation rate.\n    But within a year the plan has all but collapsed.\n    \"The situation now is worse than it was. Although there was\ninflation, at least the economy worked,\" a leading bank\neconomist said.\n    The crumbling of the plan has been accompanied by a\ndramatic reversal in the foreign trade account. In 1984 and\n1985 Brazil\'s annual trade surpluses had been sufficient to\ncover the 12 billion dlrs needed to service its 109 billion dlr\nforeign debt.\n    For the first nine months of 1986 all seemed to be on\ntarget for a repeat, with monthly surpluses averaging one\nbillion dlrs. But as exports were diverted and imports\nincreased to avoid further domestic shortages the trade surplus\nplunged to 211 mln dlrs in October and since then has averaged\nunder 150 mln.\n Reuter\n&#3;',0
'N.Z. OFFICIAL FOREIGN RESERVES FALL IN JANUARY New Zealand\'s official foreign\nreserves fell to 7.15 billion N.Z. Dlrs in January from 7.20\nbillion dlrs in December and compared with 3.03 billion a year\nago period, the Reserve Bank said in its weekly statistical\nbulletin.\n Reuter\n&#3;',0
'AGENCY REPORTS 39 SHIPS WAITING AT PANAMA CANAL The Panama Canal Commission, a U.S.\ngovernment agency, said in its daily operations report that\nthere was a backlog of 39 ships waiting to enter the canal\nearly today. Over the next two days it expects --              \n             2/26  2/27\n                       Due: 27    35\n      Scheduled to Transit: 35    41\n           End-Day Backlog: 31    25\n    Average waiting time tomorrow --\n         Super Tankers  Regular Vessels\n North End:  13 hrs      15 hrs\n South End:   4 hrs      26 hrs\n Reuter\n&#3;',0
'AMERICA FIRST MORTGAGE SETS SPECIAL PAYOUT &lt;America First Federally Guaranteed\nMortgage Fund Two> said it is making a special distribution of\n71.6 cts per exchangeable unit, which includes 67.62 cts from\nreturn on capital and 3.98 cts from income gains.\n Reuter\n&#3;',0
'EMHART CORP &lt;EMH> QTLY DIVIDEND Qtly div 35 cts vs 35 cts prior\n    Payable March 31\n    Record March nine\n\n Reuter\n&#3;',0
'AM INTERNATIONAL &lt;AM> CITES STRONG PROSPECTS AM International Inc, reporting an\noperating loss for the January 31 second quarter, said\nprospects for the balance of the fiscal year remain good.\n    It said orders at its Harris Graphics subsidiary, acquired\nin June 1986, \"continue to run at a strong pace.\" For the six\nmonths, orders rose 35 pct over the corresponding prior-year\nperiod, or on an annualized basis are running at about 630 mln\ndlrs.\n    The backlog at Harris is up 30 pct from the beginning of\nthe fiscal year, AM said.\n    AM International said its old division are expected to\nbenefit from recent new product introductions and the decline\nin the value of the dollar.\n    \"Research, development and engineering expenditures in\nfiscal 1987 will be in the 45-50 mln dlr range, and the company\nsaid it has allocated another 30-40 mln dlrs for capital\nexpenditures.\n    Earlier AM reported a fourth quarter operating loss of two\ncts a share compared to profits of seven cts a share a year\nago. Revenues rose to 291.8 mln dlrs from 151.1 mln dlrs.\n Reuter\n&#3;',0
'CCC CREDITS FOR HONDURAS SWITCHED TO WHITE CORN The Commodity Credit Corporation (CCC)\nannounced 1.5 mln dlrs in credit guarantees previously\nearmarked to cover sales of dry edible beans to Honduras have\nbeen switched to cover sales of white corn, the U.S.\nAgriculture Department said.\n    The department said the action reduces coverage for sales\nof dry edible beans to 500,000 dlrs and creates the new line of\n1.5 mln dlrs for sales of white corn.\n    All sales under the credit guarantee line must be\nregistered  and shipped by September 30, 1987, it said.\n Reuter\n&#3;',1
'ASSETS OF U.S. MONEY FUNDS ROSE IN WEEK Assets of money market mutual funds\nincreased 720.4 mln dlrs in the week ended yesterday to 236.90\nbillion dlrs, the Investment Company Institute said.\n    Assets of 91 institutional funds rose 356 mln dlrs to 66.19\nbillion dlrs, 198 general purpose funds rose 212.5 mln dlrs to\n62.94 billion dlrs and 92 broker-dealer funds rose 151.9 mln\ndlrs to 107.77 billion dlrs.\n Reuter\n&#3;',0
'GULF BARGE FREIGHT RATES UP FURTHER ON CALL Gulf barge freight rates firmed again on\nthe outlook for steady vessel loadings at the Gulf, increasing\nthe demand for barges to supply those ships, dealers said.\n    No barges traded today on the St Louis Merchants\' Exchange\ncall session, versus 29 yesterday.\n    Quotes included -\n - Delivery this week on the Illinois River (Joliet) 135 pct of\ntariff bid/140 offered, with next week same river (ex Chicago)\nquoted the same - both up 2-1/2 percentage points.\n - Next week Mississippi River (St Louis) 120 pct bid/127-1/2\noffered - up five points.\n - Next week Ohio River (Owensboro/south) 125 pct bid/132-1/2\noffered - up 7-1/2 points.\n - On station Illinois River (south Chicago) 135 pct bid/140\noffered - no comparison.\n - March Illinois (ex Chicago) 132-1/2 pct bid/140 offered - up\n2-1/2 points.\n - March Ohio River bid at yesterday\'s traded level of 125 pct,\noffered at 132-1/2.\n - March lower Mississippi River (Memphis/Cairo) 112-1/2 pct\nbid/120 offered - no comparison.\n - May Illinois River (ex Chicago) 100 pct bid/107-1/2 offered\n- no comparison.\n - Sept/Nov Lower Mississippi River (Memphis/Cairo) 137-1/2 pct\nbid/145 offered, with Sept/Dec same section 125 pct bid/135\noffered - no comparison.\n Reuter\n&#3;',0
'GULF APPLIED &lt;GATS> SELLS UNITS, SEES GAIN Gulf Applied Technologies Inc said it\nsold its pipeline and terminal operations units for 12.2 mln\ndlrs and will record a gain of 2.9 mln dlrs in the first\nquarter.\n    It added that any federal taxes owed on the transaction\nwill be offset by operating loss carryovers.\n Reuter\n&#3;',0
'FARMERS GROUP INC &lt;FGRP> 4TH QTR NET Shr 80 cts vs 72 cts\n    Net 55,513,000 vs 48,741,000\n    Revs 290.9 mln vs 264.2 mln\n    Year\n    Shr 3.09 dlrs vs 2.72 dlrs\n    Net 213,470,000 vs 184,649,000\n    Revs 1.12 billion vs 992.9 mln\n    Avg shrs 69,127,000 vs 68,004,000\n Reuter\n&#3;',0
'POTOMAC ELECTRIC POWER CO &lt;POM> JAN NET Shr 27 cts vs 29 cts\n    Net 13,555,000 vs 14,635,000\n    Revs 104,606,000 vs 110,311,000\n    Avg shrs 47.2 mln vs 47.1 mln\n    12 mths\n    Shr 4.10 dlrs vs 3.66 dlrs\n    Net 226,653,000 vs 186,790,000\n    Revs 1.4 billion vs 1.3 billion\n    Avg shr 47.1 mln vs 47.1 mln\n   \n    NOTE: latest 12 mths net includes gain 46 cts per share for\nsale of Virginia service territory to Dominion Resources Inc\n&lt;D>.\n Reuter\n&#3;',0
'&lt;COFAB INC> BUYS GULFEX FOR UNDISCLOSED AMOUNT CoFAB Inc said it acquired &lt;Gulfex Inc>,\na Houston-based fabricator of custom high-pressure process\nvessels for the energy and petrochemical industries.\n    CoFAB said its group of companies manufacture specialized\ncooling and lubricating systems for the oil and gas,\npetrochemical, utility, pulp and paper and marine industries.\n Reuter\n&#3;',0
'U.S. WEEKLY SOYBEAN CRUSH 21,782,929 BUSHELS Reporting members of the National\nSoybean Processors Association (NSPA) crushed 21,782,929\nbushels of soybeans in the week ended Feb 25 compared with\n22,345,718 bushels in the previous week and 16,568,000 in the\nyear-ago week, the association said.\n    It said total crushing capacity for members was 25,873,904\nbushels vs 25,873,904 last week and 25,459,238 bushels last\nyear.\n    NSPA also said U.S. soybean meal exports in the week were\n117,866 tonnes vs 121,168 tonnes a week ago and compared with\n84,250 tonnes in the year-ago week.\n    NSPA said the figures include only NSPA member firms.\n Reuter\n&#3;',0
'TULTEX CORP &lt;TTX> SETS QUARTERLY DIVIDEND Qtly div eights cts vs eight cts prior\n    Pay April one\n    Record March 13\n Reuter\n&#3;',0
'ATICO FINANCIAL CORP &lt;ATFC> 4TH QTR NET Shr 30 cts vs 5.92 dlrs\n    Net 1,142,000 vs 16.0 mln\n    Revs 10.6 mln vs 24.2 mln\n    Year\n    Shr 90 cts vs 6.20 dlrs\n    Net 3,320,000 vs 16.9 mln\n    Revs 45.00 mln vs 26.2 mln\n    NOTE: 1986 4th qtr and yr amounts include acquisition of\n98.8 pct of common of Atico, formerly Peninsula Federal Savings\nand Loan Association, on January 24, 1986.\n    1985 4th qtr and yr net include net gain of 15.9 mln dlrs\nor 5.86 dlrs per share on exchange of common of Pan America\nBanks Inc for common of NCNB Corp purusant to a merger of the\ncompanies.\n Reuter\n&#3;',0
